Happy,Angry,Surprise,Sad,Fear
0.0,1.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.5
0.0,0.33,0.0,0.67,0.0
0.5,0.0,0.5,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.5,0.0
0.17,0.17,0.0,0.17,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.22,0.11,0.11,0.56
0.0,0.5,0.0,0.5,0.0
0.25,0.0,0.25,0.25,0.25
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.29,0.71
0.4,0.2,0.2,0.0,0.2
0.2,0.0,0.0,0.2,0.6
0.0,0.0,0.0,0.0,0.0
0.29,0.29,0.14,0.0,0.29
0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.5,0.0,0.0,0.5,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.25,0.0,0.25,0.0
0.0,0.33,0.0,0.33,0.33
0.43,0.14,0.0,0.29,0.14
0.5,0.25,0.0,0.25,0.0
0.0,0.0,0.5,0.0,0.5
0.17,0.17,0.33,0.0,0.33
0.31,0.08,0.08,0.38,0.15
0.0,1.0,0.0,0.0,0.0
0.33,0.33,0.0,0.0,0.33
0.0,0.0,0.0,1.0,0.0
0.12,0.25,0.0,0.25,0.38
0.0,0.67,0.33,0.0,0.0
0.5,0.0,0.5,0.0,0.0
0.12,0.25,0.12,0.25,0.25
0.0,0.0,0.0,0.5,0.5
0.14,0.14,0.0,0.29,0.43
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.29,0.14,0.29,0.29
0.5,0.0,0.3,0.1,0.1
0.0,0.0,0.0,0.33,0.67
0.0,0.0,0.0,0.0,0.0
0.4,0.2,0.0,0.2,0.2
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.67,0.33
0.2,0.2,0.0,0.2,0.4
0.0,0.0,0.4,0.2,0.4
0.5,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.67
1.0,0.0,0.0,0.0,0.0
0.5,0.25,0.0,0.0,0.25
0.0,0.0,0.0,0.5,0.5
0.14,0.27,0.14,0.14,0.32
0.0,0.12,0.5,0.0,0.38
0.33,0.33,0.0,0.33,0.0
0.0,0.0,0.33,0.0,0.67
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.23,0.0,0.15,0.23,0.38
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.2,0.4
0.44,0.0,0.22,0.0,0.33
1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.17,0.0,0.0,0.17,0.67
0.0,0.5,0.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.25,0.0,0.5,0.0,0.25
0.5,0.0,0.0,0.25,0.25
0.0,0.0,0.5,0.0,0.5
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.24,0.18,0.0,0.29,0.29
0.08,0.25,0.08,0.25,0.33
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.3,0.1,0.0,0.1,0.5
0.25,0.0,0.0,0.5,0.25
0.67,0.33,0.0,0.0,0.0
0.0,0.33,0.33,0.33,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.33,0.11,0.0,0.33,0.22
0.0,0.5,0.0,0.5,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.33,0.33,0.33,0.0
0.0,0.0,0.25,0.12,0.62
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.5
0.5,0.12,0.12,0.0,0.25
0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0
0.5,0.17,0.17,0.0,0.17
0.0,0.0,0.5,0.0,0.5
0.29,0.0,0.14,0.14,0.43
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.2,0.0,0.0,0.4,0.4
0.75,0.0,0.25,0.0,0.0
